Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,63.4412,63.567,63.41,63.253,63.096,62.939,62.782,62.5654,62.3488,0
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,6.99873377,5.781744207,6.052918437,6.712703514,5.156685902,6.26456582,5.231622377,5.296472124,6.088397131,6.836080191
Argentina,ARG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,0,12.90753425,0,0,0,0,12.90753425,0,0,0
Argentina,ARG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,97.1,98.2,97,99.6,99.6,98.4,93.9,0,0,0
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.296015486,4.277881789,4.359886344,4.216360632,4.314433522,4.227539442,4.089471516,3.987234198,0,0
Argentina,ARG,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,0,55.4,81.3,0,0,0,0,0,0,0
Argentina,ARG,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,26.46596107,30.60122159,33.18739157,34.43213957,40.42762794,37.93224826,38.86839839,0,0,0
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2929.075029,3000.603523,2967.376558,3074.702071,0,0,0,0,0,0
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1952.051053,1936.80354,1967.021678,2029.922825,0,0,0,0,0,0
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,18.44920915,16.23785946,14.61717339,14.40547859,10.70565205,12.52709517,11.32028336,14.61983125,17.43970391,16.61372205
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1.43E+11,1.40E+11,1.50E+11,1.54E+11,1.77E+11,1.82E+11,2.26E+11,2.78E+11,2.82E+11,2.54E+11
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.338,2.33,2.322,2.312,2.301,2.288,2.275,2.261,2.247,0
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,10839930945,15323933917,9821661858,5065335542,11758994011,3260164342,11516861462,11716769819,6663062112,0
Argentina,ARG,Forest area (sq. km),AG.LND.FRST.K2,299906,297672,295438,293204,290970,290100,288990,287910,286810,285730
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,5.30E+11,5.46E+11,5.52E+11,5.26E+11,5.95E+11,5.58E+11,6.44E+11,5.18E+11,4.45E+11,3.83E+11
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.565351882,-2.088014861,-9.905234856
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,10710,11870,12840,12330,12570,12220,13140,12370,11130,8930
Argentina,ARG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,18770,19150,19650,19250,19700,19860,23000,22470,22080,20210
Argentina,ARG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,4.42E+11,4.95E+11,5.42E+11,5.26E+11,5.42E+11,5.33E+11,5.79E+11,5.50E+11,5.00E+11,4.05E+11
