Rregion,new_deaths,cumulative_deaths
East Of England,0,0
East Of England,0,0
East Of England,1,1
East Of England,0,1
East Of England,0,1
East Of England,0,1
East Of England,1,2
East Of England,0,2
East Of England,0,2
East Of England,1,3
East Of England,0,3
East Of England,0,3
East Of England,0,3
East Of England,1,4
East Of England,2,6
East Of England,2,8
East Of England,1,9
East Of England,1,10
East Of England,5,15
East Of England,4,19
East Of England,2,21
East Of England,11,32
East Of England,12,44
East Of England,11,55
East Of England,19,74
East Of England,26,100
East Of England,36,136
East Of England,38,174
East Of England,28,202
East Of England,43,245
East Of England,47,292
East Of England,70,362
East Of England,63,425
East Of England,65,490
East Of England,80,570
East Of England,71,641
East Of England,76,717
East Of England,71,788
East Of England,93,881
East Of England,111,992
East Of England,87,1079
East Of England,74,1153
East Of England,92,1245
East Of England,100,1345
East Of England,78,1423
East Of England,61,1484
East Of England,82,1566
East Of England,74,1640
East Of England,86,1726
East Of England,64,1790
East Of England,67,1857
East Of England,67,1924
East Of England,75,1999
East Of England,67,2066
East Of England,49,2115
East Of England,70,2185
East Of England,55,2240
East Of England,52,2292
East Of England,49,2341
East Of England,66,2407
East Of England,38,2445
East Of England,50,2495
East Of England,55,2550
East Of England,33,2583
East Of England,44,2627
East Of England,23,2650
East Of England,40,2690
East Of England,39,2729
East Of England,36,2765
East Of England,37,2802
East Of England,30,2832
East Of England,28,2860
East Of England,23,2883
East Of England,23,2906
East Of England,32,2938
East Of England,30,2968
East Of England,21,2989
East Of England,27,3016
East Of England,22,3038
East Of England,27,3065
East Of England,22,3087
East Of England,26,3113
East Of England,24,3137
East Of England,21,3158
East Of England,16,3174
East Of England,19,3193
East Of England,25,3218
East Of England,18,3236
East Of England,16,3252
East Of England,17,3269
East Of England,19,3288
East Of England,13,3301
East Of England,11,3312
East Of England,18,3330
East Of England,16,3346
East Of England,12,3358
East Of England,7,3365
East Of England,17,3382
East Of England,6,3388
East Of England,9,3397
East Of England,8,3405
East Of England,10,3415
East Of England,10,3425
East Of England,1,3426
East Of England,9,3435
East Of England,6,3441
East Of England,5,3446
East Of England,10,3456
East Of England,3,3459
East Of England,8,3467
East Of England,6,3473
East Of England,7,3480
East Of England,5,3485
East Of England,5,3490
East Of England,7,3497
East Of England,9,3506
